"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","01-Mar-2019","        269.05","        270.55","        274.60","        270.10","        272.85","        272.95","        272.87","   20024726","          5464233269.50","     103387","    9418388","         47.03"
"SBIN","EQ","05-Mar-2019","        272.95","        271.70","        277.85","        271.20","        275.95","        276.45","        275.82","   21533972","          5939426809.20","     181828","   10043398","         46.64"
"SBIN","EQ","06-Mar-2019","        276.45","        277.30","        282.55","        276.45","        278.10","        278.10","        279.31","   22161376","          6189988985.50","     135192","    7973857","         35.98"
"SBIN","EQ","07-Mar-2019","        278.10","        279.45","        282.50","        277.65","        281.95","        281.75","        280.16","   14899105","          4174201073.45","     100561","    3618586","         24.29"
"SBIN","EQ","08-Mar-2019","        281.75","        281.85","        284.25","        279.60","        281.50","        281.20","        282.38","   19943319","          5631654413.05","     132214","    7142794","         35.82"
"SBIN","EQ","11-Mar-2019","        281.20","        285.30","        289.00","        283.50","        286.95","        287.35","        287.26","   22931245","          6587152217.70","     133900","    9195175","         40.10"
"SBIN","EQ","12-Mar-2019","        287.35","        289.20","        289.90","        285.75","        287.30","        286.90","        287.68","   20828136","          5991831530.15","     152809","    9436728","         45.31"
"SBIN","EQ","13-Mar-2019","        286.90","        288.10","        294.40","        284.70","        293.85","        293.15","        288.93","   23725641","          6855125625.05","     129887","    9798889","         41.30"
"SBIN","EQ","14-Mar-2019","        293.15","        294.50","        294.70","        290.75","        292.10","        291.90","        292.34","   16164017","          4725414640.05","     121789","    5575090","         34.49"
"SBIN","EQ","15-Mar-2019","        291.90","        292.60","        301.30","        292.50","        297.80","        298.40","        298.17","   37928480","         11309110533.60","     195292","   16567446","         43.68"
"SBIN","EQ","18-Mar-2019","        298.40","        298.90","        300.90","        294.65","        299.30","        298.95","        297.45","   23782967","          7074133423.80","     135389","    5501452","         23.13"
"SBIN","EQ","19-Mar-2019","        298.95","        300.15","        306.60","        299.15","        302.75","        303.05","        303.41","   27218691","          8258345809.15","     192468","    7850534","         28.84"
"SBIN","EQ","20-Mar-2019","        303.05","        302.80","        304.65","        300.05","        304.05","        303.80","        302.61","   18820555","          5695199921.70","     129192","    6264113","         33.28"
"SBIN","EQ","22-Mar-2019","        303.80","        304.30","        306.40","        296.95","        297.90","        298.05","        302.13","   17865957","          5397823115.05","     114776","    5061026","         28.33"
"SBIN","EQ","25-Mar-2019","        298.05","        294.00","        295.45","        292.20","        293.95","        294.00","        293.78","   16895511","          4963634134.35","      82455","    7061108","         41.79"
"SBIN","EQ","26-Mar-2019","        294.00","        294.75","        305.00","        294.75","        304.80","        303.50","        299.70","   18303791","          5485556948.20","     106963","    5861143","         32.02"
"SBIN","EQ","27-Mar-2019","        303.50","        305.25","        310.85","        304.35","        308.00","        308.80","        308.12","   35956450","         11078728784.15","     237634","   12470188","         34.68"
"SBIN","EQ","28-Mar-2019","        308.80","        310.10","        339.65","        309.05","        319.20","        319.00","        315.18","   63244736","         19933755213.15","     269672","   19170708","         30.31"
"SBIN","EQ","29-Mar-2019","        319.00","        321.10","        323.00","        316.25","        320.55","        320.75","        319.43","   30394717","          9709065880.85","     195107","   10145227","         33.38"
