Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VEDL,EQ,01-03-2019,169.4,172.45,174.8,172,173.6,173.45,173.21,11885411,2058676138,88270,2454076,20.65
VEDL,EQ,05-03-2019,173.45,172.95,176.4,172.4,174.5,174.95,174.81,7667267,1340284469,95591,2193220,28.6
VEDL,EQ,06-03-2019,174.95,177.65,180,176.1,178.6,178.5,178.41,11031028,1968084156,77476,3977564,36.06
VEDL,EQ,07-03-2019,178.5,178.95,178.95,172.6,175.85,176.05,175.34,9472601,1660950270,69437,2417928,25.53
VEDL,EQ,08-03-2019,176.05,174.8,174.8,171.25,172.15,172.35,172.95,5797559,1002701240,50549,1471426,25.38
VEDL,EQ,11-03-2019,172.35,174,178.75,172.55,176.65,177.1,176.62,9043700,1597315875,57755,3612214,39.94
VEDL,EQ,12-03-2019,177.1,178.9,180.35,177.3,178.3,178.45,179.01,10456226,1871783512,57975,4385627,41.94
VEDL,EQ,13-03-2019,178.45,178,178.3,171,172,171.6,172.86,9768953,1688657721,59763,3466464,35.48
VEDL,EQ,14-03-2019,171.6,171.7,174.7,171.4,173.5,173.6,173.21,6517558,1128924446,39875,1122905,17.23
VEDL,EQ,15-03-2019,173.6,173.2,176.5,170.2,175,175.7,174.82,18224411,3185927085,56993,12456089,68.35
VEDL,EQ,18-03-2019,175.7,175,175,171.85,173.35,173.3,173.21,5902016,1022313368,40225,1245205,21.1
VEDL,EQ,19-03-2019,173.3,172.1,175.2,171.55,172.9,172.7,173.21,8901871,1541866646,47819,3346289,37.59
VEDL,EQ,20-03-2019,172.7,174.25,175.45,172.55,174,174.55,174.23,5703096,993674901.3,43510,2032850,35.64
VEDL,EQ,22-03-2019,174.55,174.2,176.6,173.05,173.2,173.9,174.95,6311803,1104245976,44789,2253477,35.7
VEDL,EQ,25-03-2019,173.9,170.7,171,167.75,168.2,168.25,169.05,8243613,1393571338,54346,3175073,38.52
VEDL,EQ,26-03-2019,168.25,170,174.35,169,174.25,173.6,172.12,8106156,1395256891,51963,3099068,38.23
VEDL,EQ,27-03-2019,173.6,175.3,177.25,173.4,174.7,175.45,175.54,8484488,1489399482,54791,2891477,34.08
VEDL,EQ,28-03-2019,175.45,177,178.95,175.65,177.95,178.05,177.53,9758852,1732456800,80033,4087425,41.88
VEDL,EQ,29-03-2019,178.05,178.6,185.4,178.55,184.8,184.45,183.66,16393058,3010735289,114023,5761953,35.15
VEDL,EQ,01-04-2019,184.45,187.4,193.4,187,188.45,188.9,191.4,15788197,3021911639,135815,4567565,28.93
VEDL,EQ,02-04-2019,188.9,190.6,190.8,186.35,188.1,187.9,188.71,8097137,1528002805,68912,2434851,30.07
VEDL,EQ,03-04-2019,187.9,188.8,191,185.05,185.6,185.8,188.62,5974559,1126902171,46529,1274091,21.33
VEDL,EQ,04-04-2019,185.8,185.25,189.15,183.4,187.55,187.2,186.33,6366506,1186302538,47310,945459,14.85
VEDL,EQ,05-04-2019,187.2,188.7,192.3,186.7,192.1,191.7,190.08,7281070,1384020472,53698,2031450,27.9
VEDL,EQ,08-04-2019,191.7,194.1,195.1,185.2,186.55,186.65,189.36,10956365,2074668753,81548,3070941,28.03
VEDL,EQ,09-04-2019,186.65,186.9,190.95,184.1,190,190,187.48,8889015,1666553682,80346,2349016,26.43
VEDL,EQ,10-04-2019,190,188.9,191.75,185.55,189,188.5,188.79,10063947,1899959511,55956,3384330,33.63
VEDL,EQ,11-04-2019,188.5,188.45,188.45,179.4,181.35,181.15,181.85,17571817,3195471582,110111,4567817,26
VEDL,EQ,12-04-2019,181.15,181.45,184.5,179.7,183.8,183.9,182.21,7716220,1405946168,52957,1263543,16.38
VEDL,EQ,15-04-2019,183.9,184.9,187.95,183.7,185.35,184.7,185.8,6503139,1208306532,54808,1902150,29.25
VEDL,EQ,16-04-2019,184.7,185.2,189.75,184.3,185,184.95,186.76,7726060,1442929356,68520,2130921,27.58
VEDL,EQ,18-04-2019,184.95,185.3,186.9,178,178.4,178.6,180.01,10531473,1895740816,84088,3696307,35.1
VEDL,EQ,22-04-2019,178.6,178.9,179.45,174.7,175.25,175,176.55,5178537,914255314.8,38164,1531549,29.57
VEDL,EQ,23-04-2019,175,175.2,176.35,174,174.7,174.8,175.14,4511939,790228704.2,29375,1154564,25.59
VEDL,EQ,24-04-2019,174.8,174.95,176,171.05,175,174.8,173.02,6493237,1123487144,56813,1759777,27.1
