Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ICICIBANK,EQ,01-03-2019,350.15,352.05,355,350.65,354.1,354.25,352.79,14190221,5006184572,103390,8125500,57.26
ICICIBANK,EQ,05-03-2019,354.25,355,364.15,352.8,361.75,363.25,358.98,17638277,6331819070,183568,10610903,60.16
ICICIBANK,EQ,06-03-2019,363.25,365.25,372.85,365.25,371.25,371.95,370.13,31436190,11635522990,169716,19719898,62.73
ICICIBANK,EQ,07-03-2019,371.95,371.5,374,368.5,370.3,370.8,370.8,15355303,5693784331,123402,6613640,43.07
ICICIBANK,EQ,08-03-2019,370.8,369.8,373.4,367.65,370.7,370.6,370.45,16143455,5980341594,120256,8384709,51.94
ICICIBANK,EQ,11-03-2019,370.6,371.8,378.4,370,375.4,375.85,375.79,11449587,4302600073,142026,6339640,55.37
ICICIBANK,EQ,12-03-2019,375.85,378,389,377.35,388.7,388.2,386.34,37108265,14336524396,200154,22910394,61.74
ICICIBANK,EQ,13-03-2019,388.2,387.9,393.25,384.3,391.15,391.9,389.13,19574619,7617126028,150225,9483461,48.45
ICICIBANK,EQ,14-03-2019,391.9,392,393,386.8,388,387.9,389.17,13182462,5130245990,95874,6385456,48.44
ICICIBANK,EQ,15-03-2019,387.9,388.85,398.25,388.1,395.8,395.3,394.71,31466545,12420043711,175791,17918072,56.94
ICICIBANK,EQ,18-03-2019,395.3,396.25,399.9,393.5,399.65,398.05,396.52,21220626,8414467499,114855,10417595,49.09
ICICIBANK,EQ,19-03-2019,398.05,398.4,400.95,393.9,397.85,398.4,398.15,11670392,4646580189,105497,5082413,43.55
ICICIBANK,EQ,20-03-2019,398.4,397.6,398.15,392.2,393.9,392.9,394.49,14181408,5594415550,90450,8771151,61.85
ICICIBANK,EQ,22-03-2019,392.9,394.45,396.3,390,391.45,391.8,392.9,17409249,6840121878,126720,8503744,48.85
ICICIBANK,EQ,25-03-2019,391.8,387.95,387.95,382.5,383.4,383.5,384.41,12345034,4745538489,111683,7813415,63.29
ICICIBANK,EQ,26-03-2019,383.5,384.95,395.5,383.4,394.7,394.1,389.46,14063632,5477210935,119816,6312524,44.89
ICICIBANK,EQ,27-03-2019,394.1,395.4,398.45,390.15,392.5,393.2,394.23,17950017,7076351530,131353,7032321,39.18
ICICIBANK,EQ,28-03-2019,393.2,392.75,401.9,392.75,399.05,400.55,398.93,23117485,9222326164,142957,14896983,64.44
ICICIBANK,EQ,29-03-2019,400.55,402.15,402.4,395.1,399.1,400.5,399.11,18813782,7508686815,151307,9871710,52.47
ICICIBANK,EQ,01-04-2019,400.5,401.45,409.55,395.75,397,398.25,404.53,16106604,6515525110,161156,6406131,39.77
ICICIBANK,EQ,02-04-2019,398.25,400,400,393.45,398.55,397.15,395.93,13010810,5151407888,143555,6427628,49.4
