Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CIPLA,EQ,01-03-2019,554.55,555,555.3,547.4,550.7,551.55,550.09,2430914,1337226766,59250,1219377,50.16
CIPLA,EQ,05-03-2019,551.55,550,551.5,546.55,547.65,548.65,549.24,1644098,903011019.2,54255,936345,56.95
CIPLA,EQ,06-03-2019,548.65,551,552,541.95,546.8,547.55,546.63,1587182,867600860.2,37920,520610,32.8
CIPLA,EQ,07-03-2019,547.55,547.65,550,539.65,542.95,541.35,544.09,1144534,622725277.3,23616,451727,39.47
CIPLA,EQ,08-03-2019,541.35,541,543.4,538.25,538.75,539.95,541.04,2618767,1416853803,53007,1587699,60.63
CIPLA,EQ,11-03-2019,539.95,542,542,535.5,540,540.1,539.46,2342102,1263481202,71032,1330143,56.79
CIPLA,EQ,12-03-2019,540.1,541.9,543.65,537.3,538,538.75,539.97,2049339,1106576348,42050,1058892,51.67
CIPLA,EQ,13-03-2019,538.75,542,542.5,531,533,532.8,535.3,1582245,846974426.5,31512,655847,41.45
CIPLA,EQ,14-03-2019,532.8,532.05,534.1,530.5,532.55,532.75,532.59,1490894,794042596.9,25972,840375,56.37
CIPLA,EQ,15-03-2019,532.75,534.1,535.4,528.95,532.2,532.6,532.72,2019240,1075695823,46517,1411551,69.91
CIPLA,EQ,18-03-2019,532.6,533.05,535.8,529,535,534.5,533.44,1266863,675790418.7,35249,728362,57.49
CIPLA,EQ,19-03-2019,534.5,537.15,537.7,530.2,533.4,533.65,534.24,874797,467351140.8,31354,436128,49.85
CIPLA,EQ,20-03-2019,533.65,532,534.8,531.1,533.25,533.25,533.06,1255306,669149245,37978,912748,72.71
CIPLA,EQ,22-03-2019,533.25,534.9,539,523.6,527,526.8,530.82,1579084,838214435.9,37579,766614,48.55
CIPLA,EQ,25-03-2019,526.8,525.6,528.7,516.2,526,526.85,523.34,1874898,981213600.5,37511,902002,48.11
CIPLA,EQ,26-03-2019,526.85,528.5,532.5,525.7,529.15,529.3,528.52,3044792,1609231646,40088,2254519,74.05
CIPLA,EQ,27-03-2019,529.3,531.4,533.6,524.05,525.3,525.5,526.5,1217387,640951433.9,33832,614112,50.45
CIPLA,EQ,28-03-2019,525.5,525.3,527.35,522.3,525.6,525.6,525.37,4133379,2171557356,96008,2449466,59.26
CIPLA,EQ,29-03-2019,525.6,525.75,530.7,524,527.45,528.9,527.47,2162632,1140712757,63745,1168570,54.03
CIPLA,EQ,01-04-2019,528.9,516.3,528.75,516.3,526.75,525.65,525.06,4091454,2148258621,81440,1371092,33.51
CIPLA,EQ,02-04-2019,525.65,529.95,529.95,521.15,522.25,522.65,524,1268431,664657979.9,36463,412378,32.51
CIPLA,EQ,03-04-2019,522.65,523,524.8,519.1,520.5,520.45,522.84,3276338,1713000983,42519,2512367,76.68
CIPLA,EQ,04-04-2019,520.45,519,522,517.5,520.1,521,520.6,5555991,2892449704,76315,4669889,84.05
CIPLA,EQ,05-04-2019,521,531.4,541,526,532.1,532.1,535.1,9784780,5235852144,119899,3002121,30.68
CIPLA,EQ,08-04-2019,532.1,536.5,536.9,522.7,526.25,525.4,526.64,2429845,1279642560,82647,1140734,46.95
CIPLA,EQ,09-04-2019,525.4,526.25,534.5,525.4,531.5,532,530.35,2301681,1220697377,38666,995734,43.26
CIPLA,EQ,10-04-2019,532,531.55,551.75,530.8,546.45,546.45,546.4,5992326,3274229711,77283,1139694,19.02
CIPLA,EQ,11-04-2019,546.45,546.35,554.7,542,545.3,544.85,549.02,2977870,1634911741,67860,622883,20.92
